BusinessName,HoldingName
jafor tea stall,
,
,
sharif market,
bata sadarghat,
,
,
,
,
,
,
,
,
ghi potti,
,
national biddut bitan,
asha fabrics,
,
,
,
agrani bank sadarghat,
,
,
iccb islami bank sadarghat,
junayed corporation,
,
saloon,mir hazirbagh
,
ma telecom,mir hazirbagh
,
united enterprise,
,
tailors,
,
rifat telecom,mir hazirbagh
,
,
,
,
,
united commercial bank gulshan (ucb),
huwaei showroom showroom,
pizza inn express gulshan,police plaza concord shopping mall
,
,
,
,
,
,
,
,
,
,
sadia traders,
tea stall,north jurain
alauddin and sons,
,
,
,
,
,
shoe shop,
,
,
,
,
,
,
,
,
,
,
,
madina medical hall,
,
,
moon traders,
,
sohag enterprise,
madina biryani ghor,
,
,
raihan tea store,
,
mayer doa fuchka,south doniya
md shahjahan baburchi,
prominent foods & desserts,
,
,
khalil hotel,
engineering workshop,muradpur
all sky shop mohammadpur,
kaderia tower,
,mridha tower
,
,
,
,
hasan hair dresser saloon,
,
,
tea stall,east jurain
,
,khan manjil
,
,
khabar hotel,
,
,
,jiasmin villa
sharif store,east jurain
khabar hotel,east jurain
mohona parlour,east jurain
dhaka tattoo studio,
,
,
,
,
cloth shop,east jurain
east jurain,
,
,
new gulshan decorators,
mobil house,
,
,
,italy house
,
,
,
vogue,police plaza concord shopping mall
fatema fast food,
,
steel engineering workshop,nama shyampur
ibrahim tea stall,nama shyampur
cloth shop,nama shyampur
nama shyampur,
bismillah cosmetics,nama shyampur
,
siam electronics,
hajera high school,alambagh
rasel store,alambagh
,
,zobeda cottage
,
sara furniture,
khajar dek,
united commercial bank gulshan (ucb),
embassy of china,
british high commission dhaka,
royal bhutanese embassy,
khabar hotel,
super insulator & porcelain ware industry,
real apps store,
masjide belal (ra,
shima cloth store,
quantum foundation tejgoan cell,
btcl local complain center,
lal masjid,
delowar store,
rupali bank postogola,
,
,
,
,
bandhu paribahan sangstha,
bangla bazar fast food,
agrani bank tejgaon,
tvs auto bangladesh,
shwapno express,
le reve,sujatnagar
,
,
,
abul bashar govt. primary school,
new super market south bhaban,
songbad potro bikroy kendro,
dhanshiri preparatory school,
,
,
,
railgate,
railgate,
jossore puspaloy,
halim foundation model high school,
asa district office,
kallyanpur housing jame masjid,
,jolly view
shadhin restaurant,
new asia hotel,
gabtoli bus terminal,
kotbari,
,
,rajia tower
american pizza & burger mohammadpur,
abdullah enterprise,
,
,
,ajij palace
mezban khabar o sorshe elish restaurant,asha plaza
ab bank limited darussalam branch,
misco super market,
social islami bank mirpur (sibl),
,
,
,
shifa moni cosmetics,khilgaon taltola city super market
,
,
,
,nayatola
,
mirbagh darul aman jame masjid,
,
,
,
masud enterprise,
gabtoli,
mobile jogot,
,
gabtoli,
gabtoli,
shawon hotel,
,
,
,
,
,
,
,
,
,
gabtoli,
sri sri durga mandir & shebasram,
,
jaman traders,shah ali biponi bitan
alfa dental & orthodentics,
,
,
,
,
tamanna dental zone,
chiken shop,
baf shaheen college dhaka canteen,
mes convention hall,
,
mes canteen,
bsd mosque,
directorate of secondary and higher education,
,
pir yamini market,
,
,
purba badda,
,
,
,
,lutfun shopping complex
,
,
bangabandhu sheikh mujibor rahman novotheatre,
shobuj photocopy,
harun general store,
,
mayer dowa telecom center,purba badda
sumij beauty care,
ahmed store,
,
,
ripon engineering workshop,puraba merul
new fashion hair cutting,
amena pharmacy,south ananda nagar
,
kamal shaymol hair dresser,
,
,
,
,
,
,
,
,
akota foam house,
,
,
rajdhani furniture mart,
,
fnf digital studio,
,
,
,molla kotaj
,
,
,
,
,
,
,
sultan hotel,
s. s clinic,
jannat laundry,purba manik nagar
a. ajij general store,said nogor
,
,
,
roshid enterprise,stadium market
,
,
,
,
,
gausul azam jame masjid,
mugda medical college and hospital,mugdapara
eglal's abc charity school,
,
,
,
,
seba medical hall,
arshi telecom & stationary,
,
,kohinoor villa
,
,
,
mayer dowa store,
,
,
,
simran telecom,
,
,
,
,
,
khilbarir tak,
allahar dan pharmacy,
,
,
,
,
,halim a & molla villa
kalachadpur adorsho k.g & high school,
tongi government college,
,
,
purbo noianagor,
al-madrasatu moinul islam,
